iyear,imonth,idate,country,country_txt,region,region_txt,provstate,city,crit1,crit2,crit3,success,attacktype1,attacktype1_txt,targtype1,targtype1_txt,natlty1,natlty1_txt,gname,individual,weaptype1,weaptype1_txt,weapdetail,nkill,ishostkid,ransom
2000,1,1,139,Namibia,11,Sub-Saharan Africa,Kavango,Muitjiku,1,1,1,1,2,Armed Assault,1,Business,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,0,0,
2000,1,1,139,Namibia,11,Sub-Saharan Africa,Kavango,Muitjiku,1,1,1,1,6,Hostage Taking (Kidnapping),1,Business,139,Namibia,National Union for the Total Independence of Angola (UNITA),0,5,Firearms,,0,1,0
2000,1,1,92,India,6,South Asia,Jammu and Kashmir,Udhampur,1,1,1,1,2,Armed Assault,3,Police,92,India,Lashkar-e-Taiba (LeT),0,5,Firearms,A sniper rifle was used in addition to other gun types,1,0,
2000,1,1,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Peje,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,103,Kazakhstan,Unknown,0,6,Explosives,,0,0,
2000,1,1,182,Somalia,11,Sub-Saharan Africa,Banaadir,Mogadishu,1,0,1,1,2,Armed Assault,14,Private Citizens & Property,182,Somalia,Unknown,0,5,Firearms,,6,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,"Unknown gun types, explosives, and petrol bombs were extensively used throughout the city during these attacks.",,0,
2000,1,1,92,India,6,South Asia,Assam,Kakotibari,1,1,1,1,3,Bombing/Explosion,21,Utilities,92,India,United Liberation Front of Assam (ULFA),0,6,Explosives,,0,0,
2000,1,1,1003,Kosovo,9,Eastern Europe,Kosovo (Province),Gorazhdec,1,1,1,0,2,Armed Assault,14,Private Citizens & Property,175,Serbia-Montenegro,Unknown,0,5,Firearms,,0,0,
2000,1,1,209,Turkey,10,Middle East & North Africa,Istanbul,Istanbul,1,1,1,1,3,Bombing/Explosion,1,Business,209,Turkey,Unknown,0,6,Explosives,,0,0,
2000,1,1,185,Spain,8,Western Europe,Basque Country,Galdacano,1,1,1,1,2,Armed Assault,4,Military,185,Spain,Unknown,0,8,Incendiary,36 petrol bombs were thrown at the barracks,0,0,
2000,1,1,185,Spain,8,Western Europe,Basque Country,Guernica,1,1,1,1,2,Armed Assault,1,Business,185,Spain,Unknown,0,8,Incendiary,Petrol bombs were thrown inside the bank,0,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,"Unknown gun types, explosives, and petrol bombs were extensively used throughout the city during these attacks.",,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,"Nine bombs, including four petrol bombs, were thrown in this attack.",,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,22,Violent Political Party,19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,19,Bangladesh,Unknown,0,8,Incendiary,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,3,Police,19,Bangladesh,Unknown,0,6,Explosives,,0,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,2,Government (General),19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,3,Police,19,Bangladesh,Unknown,0,6,Explosives,Bricks were thrown in this attack.,0,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,2,Government (General),19,Bangladesh,Unknown,0,5,Firearms,,0,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,3,Bombing/Explosion,14,Private Citizens & Property,19,Bangladesh,Unknown,0,6,Explosives,,,0,
2000,1,1,19,Bangladesh,6,South Asia,Chittagong,Chittagong,1,1,1,1,2,Armed Assault,19,Transportation,19,Bangladesh,Unknown,0,6,Explosives,"Unknown gun types, explosives, and petrol bombs were extensively used throughout the city during these attacks.",0,0,
